-0.5409,-0.4983,-0.6613,-0.4424,-0.4817,-0.4091,-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94
-0.4983,-0.6613,-0.4424,-0.4817,-0.4091,-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94,350.55
-0.6613,-0.4424,-0.4817,-0.4091,-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94,350.55,283.92
-0.4424,-0.4817,-0.4091,-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94,350.55,283.92,222.86
-0.4817,-0.4091,-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94,350.55,283.92,222.86,3.6942
-0.4091,-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143
-0.5807,6.7325,61.669,129.08,349.7,478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338
6.7325,61.669,129.08,349.7,478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794
61.669,129.08,349.7,478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835
129.08,349.7,478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45
349.7,478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951
478.2,482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726
482.94,350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082
350.55,283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594
283.92,222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182
222.86,3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122
3.6942,-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938
-0.2143,-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858
-0.2338,-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153
-0.3794,-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77
-0.3835,-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85
-0.45,-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3
-0.3951,-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96
-0.3726,-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06
-0.4082,-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06,411.16
-0.4594,-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06,411.16,146.46
-0.5182,-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06,411.16,146.46,187
-0.5122,-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06,411.16,146.46,187,169.93
-0.5938,-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06,411.16,146.46,187,169.93,61.914
-0.4858,-0.1153,29.77,173.85,330.3,451.96,505.06,411.16,146.46,187,169.93,61.914,-0.4046
-0.1153,29.77,173.85,330.3,451.96,505.06,411.16,146.46,187,169.93,61.914,-0.4046,-0.1852
